"own_edu","origin","estimate","se","ci_lo","ci_hi","within","between"
"High","High",298.609114122926,2.10371992995218,294.48582306022,302.732405185633,4.17747289043067,0.225604230224853
"High","Low",264.950929460802,3.73342192911794,257.633422479731,272.268436441873,12.8425148362215,0.996294967815712
"Low","High",232.408640565243,9.531984052224,213.725951822884,251.091329307602,80.5861927898138,9.33866107458081
"Low","Low",219.4656931185,2.5968320903256,214.375902221462,224.555484015538,5.96993568359857,0.703273837951145
"Medium","High",282.297346199495,3.67333054815358,275.097618325114,289.497074073876,8.43810019480814,4.59568829199105
"Medium","Low",246.512540673507,3.07472573633071,240.486078230299,252.539003116715,8.41088277981592,0.948232339853187
