"term","estimate","se","ci_lo","ci_hi","p","sex","cycle","n"
"originHigh",58.4744054065225,4.49804985331476,49.6582276940255,67.2905831190194,1.22429631587414e-38,"Male","2012",968
"originHigh",49.1715699770975,4.32426772218939,40.6960052416063,57.6471347125887,5.82659295060274e-30,"Female","2012",1269
"originHigh",45.5197495525709,7.00383389389102,31.7922351205445,59.2472639845973,8.071513248758e-11,"Male","2023",1014
"originHigh",49.200481317835,8.88155655302102,31.7926304739138,66.6083321617562,3.03122243728497e-08,"Female","2023",1340
