"cycle","origin","pct","se","ci_lo","ci_hi"
"2012","Low",22.5052770249857,1.31321837940273,19.9313690013563,25.079185048615
"2012","Medium",39.530643973326,1.29637070988026,36.9897573819607,42.0715305646913
"2012","High",62.2126658798419,1.69420391591861,58.8920262046414,65.5333055550423
"2023","Low",32.3521259729524,2.70972496657284,27.0410650384696,37.6631869074352
"2023","Medium",44.7724757675281,1.98640361392563,40.8791246842339,48.6658268508224
"2023","High",60.1050072331005,1.77334067497832,56.629259510143,63.580754956058
