"outcome","family","r2_quals_only","r2_plus_numeracy","delta"
"earn_decile","linear R2",0.305417337916628,0.367134881346988,0.0617175434303602
"occ_high","McFadden pseudo-R2",0.160188181484194,0.206872661187028,0.0466844797028339
