"term","estimate","se","ci_lo","ci_hi","p","own_edu","n","cycle"
"originHigh",17.4307221315974,10.8899622112012,-3.91360380235699,38.7750480655518,0.109460482613507,"Low",596,"2012"
"originHigh",38.306833564663,4.66478426678552,29.1638564017634,47.4498107275627,2.17679937104281e-16,"Medium",642,"2012"
"originHigh",37.0352481921452,4.53908947933273,28.1386328126531,45.9318635716374,3.37306600558242e-16,"High",989,"2012"
"originHigh",29.84398197681,21.6225627404144,-12.5362409944023,72.2242049480223,0.167517659026572,"Low",221,"2023"
"originHigh",31.3280661504501,10.9189520330774,9.92692016561851,52.7292121352817,0.0041158193286453,"Medium",796,"2023"
"originHigh",27.3369875869605,6.51408643083385,14.5693781825262,40.1045969913949,2.70956909430134e-05,"High",1330,"2023"
