"term","estimate","se","ci_lo","ci_hi","p","outcome","cycle"
".num",0.860671853203414,0.068326563689812,0.726751788371383,0.994591918035446,2.20875373721855e-36,"earn_decile","2012"
".num",0.714819157256824,0.0659438376925561,0.585569235379414,0.844069079134234,2.2291561015354e-27,"occ_high","2012"
