"term","estimate","se","ci_lo","ci_hi","p","model","cycle"
"originMedium",33.3048627372691,2.54163473162121,28.3232586632916,38.2864668112467,3.13518364921892e-39,"Total (composition-adjusted)","2012"
"originHigh",51.9081291507558,2.66258166726459,46.6894690829173,57.1267892185944,1.20081435558635e-84,"Total (composition-adjusted)","2012"
"originMedium",23.0559003436539,2.47486646732281,18.2051620677012,27.9066386196066,1.2078869289407e-20,"Net of own qualification","2012"
"originHigh",34.4856466854996,2.88660154940326,28.8279076486692,40.14338572233,6.74748603013832e-33,"Net of own qualification","2012"
"originMedium",33.4658283867947,5.39476493744828,22.892089109396,44.0395676641933,5.52598307583706e-10,"Total (composition-adjusted)","2023"
"originHigh",47.2665884910897,5.65075653812956,36.1911056763558,58.3420713058237,6.02947396718815e-17,"Total (composition-adjusted)","2023"
"originMedium",25.2991890207731,4.89193029461491,15.7110056433278,34.8873723982183,2.32077104499272e-07,"Net of own qualification","2023"
"originHigh",32.360905940305,5.54546601627134,21.4917925484132,43.2300193321969,5.36098360064805e-09,"Net of own qualification","2023"
