source,target,relation
https://ontology.tesseract.academy/modip/object/9b7fe1d8-aa9d-3fb5-9ea4-543ac6e4118e,https://ontology.tesseract.academy/modip/object/b9337763-76a2-37c8-b824-419bcf3cae85,P67_refers_to
https://ontology.tesseract.academy/modip/object/9b7fe1d8-aa9d-3fb5-9ea4-543ac6e4118e,https://ontology.tesseract.academy/modip/object/f115884c-00dd-3f49-a662-a8384059cc15,P67_refers_to
https://ontology.tesseract.academy/modip/object/34b167ba-d607-3316-970d-6f297a3d1d90,https://ontology.tesseract.academy/modip/object/e2fe937f-7e97-388d-b6c3-8263e220a0f9,P67_refers_to
https://ontology.tesseract.academy/modip/object/d5217556-f5e9-3b72-b8d0-d3d433cd1b56,https://ontology.tesseract.academy/modip/object/c05ed814-15c7-3bbf-9dde-9b1bb0a11a0a,P67_refers_to
https://ontology.tesseract.academy/modip/object/c05ed814-15c7-3bbf-9dde-9b1bb0a11a0a,https://ontology.tesseract.academy/modip/object/d5217556-f5e9-3b72-b8d0-d3d433cd1b56,P67_refers_to
https://ontology.tesseract.academy/modip/object/99d800a2-b0be-3da5-8696-4fcb8a1eb092,https://ontology.tesseract.academy/modip/object/ad218315-ed9e-3ac7-8f15-c19eb91447a1,P67_refers_to
https://ontology.tesseract.academy/modip/object/99d800a2-b0be-3da5-8696-4fcb8a1eb092,https://ontology.tesseract.academy/modip/object/40cfe156-19bf-3224-afe7-68326c9f9a7a,P67_refers_to
https://ontology.tesseract.academy/modip/object/12cb0f37-3819-345c-8730-ca206830c38a,https://ontology.tesseract.academy/modip/object/ad218315-ed9e-3ac7-8f15-c19eb91447a1,P67_refers_to
https://ontology.tesseract.academy/modip/object/12cb0f37-3819-345c-8730-ca206830c38a,https://ontology.tesseract.academy/modip/object/40cfe156-19bf-3224-afe7-68326c9f9a7a,P67_refers_to
https://ontology.tesseract.academy/modip/object/1eccf49e-84af-3155-8cdc-0d0cf4158668,https://ontology.tesseract.academy/modip/object/a175bbe8-7ac4-3750-93c3-1df4bac83615,P67_refers_to
https://ontology.tesseract.academy/modip/object/3c0458da-7379-3fc9-8c22-c447b053f8ef,https://ontology.tesseract.academy/modip/object/5b14492c-a276-39a3-88a6-9d959d9aff90,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/4b1504e8-0835-3a40-96fd-6aa2e147f3fb,https://ontology.tesseract.academy/modip/object/a567fc4f-34f1-362e-8a2b-45f47e2fe06e,P67_refers_to
https://ontology.tesseract.academy/modip/object/69928fe1-f95f-3a09-9cd4-bcf9f8dda523,https://ontology.tesseract.academy/modip/object/e4df5a78-8e78-3356-b5ce-ee830141daa8,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/a567fc4f-34f1-362e-8a2b-45f47e2fe06e,https://ontology.tesseract.academy/modip/object/4b1504e8-0835-3a40-96fd-6aa2e147f3fb,P67_refers_to
https://ontology.tesseract.academy/modip/object/1029ed16-f35d-3cb0-b623-72119c8ea671,https://ontology.tesseract.academy/modip/object/9995f2f7-3014-3499-9527-05c130e5ab92,P67_refers_to
https://ontology.tesseract.academy/modip/object/1029ed16-f35d-3cb0-b623-72119c8ea671,https://ontology.tesseract.academy/modip/object/285b501f-a4f6-39a0-abc1-0720c970b696,P67_refers_to
https://ontology.tesseract.academy/modip/object/e4df5a78-8e78-3356-b5ce-ee830141daa8,https://ontology.tesseract.academy/modip/object/69928fe1-f95f-3a09-9cd4-bcf9f8dda523,P67_refers_to
https://ontology.tesseract.academy/modip/object/9995f2f7-3014-3499-9527-05c130e5ab92,https://ontology.tesseract.academy/modip/object/1029ed16-f35d-3cb0-b623-72119c8ea671,P67_refers_to
https://ontology.tesseract.academy/modip/object/9995f2f7-3014-3499-9527-05c130e5ab92,https://ontology.tesseract.academy/modip/object/285b501f-a4f6-39a0-abc1-0720c970b696,P67_refers_to
https://ontology.tesseract.academy/modip/object/285b501f-a4f6-39a0-abc1-0720c970b696,https://ontology.tesseract.academy/modip/object/9995f2f7-3014-3499-9527-05c130e5ab92,P67_refers_to
https://ontology.tesseract.academy/modip/object/285b501f-a4f6-39a0-abc1-0720c970b696,https://ontology.tesseract.academy/modip/object/1029ed16-f35d-3cb0-b623-72119c8ea671,P67_refers_to
https://ontology.tesseract.academy/modip/object/7e2365c9-be34-322e-b0de-1c0b73d588e7,https://ontology.tesseract.academy/modip/object/9d4b4526-5d3e-393f-8478-e9966afd8007,P67_refers_to
https://ontology.tesseract.academy/modip/object/40a91b69-3ab5-38cc-9d73-84be999ca59a,https://ontology.tesseract.academy/modip/object/76755d74-39a3-38db-8b3c-0541f3d38a0e,P67_refers_to
https://ontology.tesseract.academy/modip/object/9d4b4526-5d3e-393f-8478-e9966afd8007,https://ontology.tesseract.academy/modip/object/7e2365c9-be34-322e-b0de-1c0b73d588e7,P67_refers_to
https://ontology.tesseract.academy/modip/object/9bc18e38-7e05-3466-b6ea-7ae9067387e3,https://ontology.tesseract.academy/modip/object/b19fba60-3883-3160-b09f-c0884788790c,P67_refers_to
https://ontology.tesseract.academy/modip/object/4dc5776d-f953-3d84-9ea1-568d70daae14,https://ontology.tesseract.academy/modip/object/b19fba60-3883-3160-b09f-c0884788790c,P67_refers_to
https://ontology.tesseract.academy/modip/object/651a6881-8d68-32c3-b91d-e460d5b07d49,https://ontology.tesseract.academy/modip/object/b19fba60-3883-3160-b09f-c0884788790c,P67_refers_to
https://ontology.tesseract.academy/modip/object/42927bc6-cac6-3c13-98f0-0c2caf381f3f,https://ontology.tesseract.academy/modip/object/b19fba60-3883-3160-b09f-c0884788790c,P67_refers_to
https://ontology.tesseract.academy/modip/object/85d92328-930e-3c2d-8d88-e3759e6d55fa,https://ontology.tesseract.academy/modip/object/06e084ba-84dd-39bd-8620-47d62af50b4e,P67_refers_to
https://ontology.tesseract.academy/modip/object/06e084ba-84dd-39bd-8620-47d62af50b4e,https://ontology.tesseract.academy/modip/object/85d92328-930e-3c2d-8d88-e3759e6d55fa,P67_refers_to
https://ontology.tesseract.academy/modip/object/737cdab2-f81e-3486-8273-bd146f085f81,https://ontology.tesseract.academy/modip/object/a9a5b498-2b96-32ee-9dcf-6a8a64842aac,P67_refers_to
https://ontology.tesseract.academy/modip/object/737cdab2-f81e-3486-8273-bd146f085f81,https://ontology.tesseract.academy/modip/object/22539d3a-e31d-38cb-8c31-f35b041a4466,P67_refers_to
https://ontology.tesseract.academy/modip/object/a9a5b498-2b96-32ee-9dcf-6a8a64842aac,https://ontology.tesseract.academy/modip/object/737cdab2-f81e-3486-8273-bd146f085f81,P67_refers_to
https://ontology.tesseract.academy/modip/object/a9a5b498-2b96-32ee-9dcf-6a8a64842aac,https://ontology.tesseract.academy/modip/object/22539d3a-e31d-38cb-8c31-f35b041a4466,P67_refers_to
https://ontology.tesseract.academy/modip/object/22539d3a-e31d-38cb-8c31-f35b041a4466,https://ontology.tesseract.academy/modip/object/737cdab2-f81e-3486-8273-bd146f085f81,P67_refers_to
https://ontology.tesseract.academy/modip/object/22539d3a-e31d-38cb-8c31-f35b041a4466,https://ontology.tesseract.academy/modip/object/a9a5b498-2b96-32ee-9dcf-6a8a64842aac,P67_refers_to
https://ontology.tesseract.academy/modip/object/d8b1e5f3-d1d4-305a-9ca3-72f6901faeaf,https://ontology.tesseract.academy/modip/object/1019b585-75f5-3901-adb1-f3da13b5d621,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/1019b585-75f5-3901-adb1-f3da13b5d621,https://ontology.tesseract.academy/modip/object/d8b1e5f3-d1d4-305a-9ca3-72f6901faeaf,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/4aec943e-9d7a-3bd9-b6f6-66f84403feeb,https://ontology.tesseract.academy/modip/object/c9c3fcf3-fbb9-3f2c-91a2-97973e49de25,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/76902051-a31a-32ad-bfac-4d29406f1d45,https://ontology.tesseract.academy/modip/object/4aec943e-9d7a-3bd9-b6f6-66f84403feeb,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/c9c3fcf3-fbb9-3f2c-91a2-97973e49de25,https://ontology.tesseract.academy/modip/object/4aec943e-9d7a-3bd9-b6f6-66f84403feeb,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/454922dd-8c37-328a-8635-524ba9eaa0f8,https://ontology.tesseract.academy/modip/object/a699d8a3-b184-3025-bb64-95f116f94119,P67_refers_to
https://ontology.tesseract.academy/modip/object/a699d8a3-b184-3025-bb64-95f116f94119,https://ontology.tesseract.academy/modip/object/454922dd-8c37-328a-8635-524ba9eaa0f8,P67_refers_to
https://ontology.tesseract.academy/modip/object/40a2e881-61ce-365d-84f1-949bb2af9af3,https://ontology.tesseract.academy/modip/object/25f24091-fb00-3d9c-b8f1-6c0df9568e6d,P67_refers_to
https://ontology.tesseract.academy/modip/object/25f24091-fb00-3d9c-b8f1-6c0df9568e6d,https://ontology.tesseract.academy/modip/object/40a2e881-61ce-365d-84f1-949bb2af9af3,P67_refers_to
https://ontology.tesseract.academy/modip/object/4a6bf254-6978-3433-a57d-d86c5c4b5af6,https://ontology.tesseract.academy/modip/object/b9337763-76a2-37c8-b824-419bcf3cae85,P67_refers_to
https://ontology.tesseract.academy/modip/object/f115884c-00dd-3f49-a662-a8384059cc15,https://ontology.tesseract.academy/modip/object/b9337763-76a2-37c8-b824-419bcf3cae85,P67_refers_to
https://ontology.tesseract.academy/modip/object/855fda7c-1f25-3845-aa5f-79d0f4b27802,https://ontology.tesseract.academy/modip/object/f115884c-00dd-3f49-a662-a8384059cc15,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/2db315e4-f795-37d4-bcc7-e71c7b0ae4e8,https://ontology.tesseract.academy/modip/object/229acd2c-f651-391e-aa9a-7a7c08a22404,P67_refers_to
https://ontology.tesseract.academy/modip/object/414bfa89-a953-3ffe-85cb-a6f94009676a,https://ontology.tesseract.academy/modip/object/9ff75e73-26d2-324e-bbdf-ba5e1833e09e,P67_refers_to
https://ontology.tesseract.academy/modip/object/746c0919-8e93-39bc-a6d5-2bc79c64723d,https://ontology.tesseract.academy/modip/object/9998124e-98a1-350d-bd7a-dc9f270df966,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/ef8e6ae5-8041-3b80-81b5-b2fb22974cca,https://ontology.tesseract.academy/modip/object/7a90dbbc-5ca6-3ee1-8cbc-6f39662a6f53,P67_refers_to
https://ontology.tesseract.academy/modip/object/f70e6f95-6124-3f8d-bdc9-1e897bc22890,https://ontology.tesseract.academy/modip/object/9b00a9ef-baff-3173-adc6-475097a4ad3e,P67_refers_to
https://ontology.tesseract.academy/modip/object/022c66c5-800f-36ee-86db-a927117b2229,https://ontology.tesseract.academy/modip/object/834285e2-15e3-3278-81b9-f50586624a7e,P67_refers_to
https://ontology.tesseract.academy/modip/object/022c66c5-800f-36ee-86db-a927117b2229,https://ontology.tesseract.academy/modip/object/e2b18be7-a6f6-3118-82bc-3c719916c6f6,P67_refers_to
https://ontology.tesseract.academy/modip/object/df2329ac-a378-318a-9ec4-394788c4340d,https://ontology.tesseract.academy/modip/object/85087ae1-24bc-3d60-a5b6-a3c82c769706,P67_refers_to
https://ontology.tesseract.academy/modip/object/9b00a9ef-baff-3173-adc6-475097a4ad3e,https://ontology.tesseract.academy/modip/object/f70e6f95-6124-3f8d-bdc9-1e897bc22890,P67_refers_to
https://ontology.tesseract.academy/modip/object/217bad78-7246-36bd-bd47-21051f6a9cfd,https://ontology.tesseract.academy/modip/object/0e89633c-f572-3861-a861-ac221535f797,P67_refers_to
https://ontology.tesseract.academy/modip/object/32486417-6366-3fb3-b7c8-3e8c76085cc0,https://ontology.tesseract.academy/modip/object/764cb630-1862-3bf6-bcb4-42c3324d08e8,P67_refers_to
https://ontology.tesseract.academy/modip/object/143f2f69-26e9-3fd1-b5e0-5fc9f9622f11,https://ontology.tesseract.academy/modip/object/764cb630-1862-3bf6-bcb4-42c3324d08e8,P67_refers_to
https://ontology.tesseract.academy/modip/object/e28d234b-67d7-3fdb-886f-aa8b44a83eb9,https://ontology.tesseract.academy/modip/object/d0017afc-745b-3847-9e31-b728df59c734,P67_refers_to
https://ontology.tesseract.academy/modip/object/898437af-4473-3120-b256-e02802ee7c7e,https://ontology.tesseract.academy/modip/object/fed1fc53-bba4-3a3b-9edf-1521333948dd,P67_refers_to
https://ontology.tesseract.academy/modip/object/11946f8d-9127-388d-8c79-9de314aa8022,https://ontology.tesseract.academy/modip/object/6c44fd62-6fce-3f3a-82cc-a0a29c9cc309,P67_refers_to
https://ontology.tesseract.academy/modip/object/5e1c09e7-aa87-39ff-b823-7227865b3bdf,https://ontology.tesseract.academy/modip/object/f146c2b1-5fb1-3e58-aa59-906d98016adb,P67_refers_to
https://ontology.tesseract.academy/modip/object/5e1c09e7-aa87-39ff-b823-7227865b3bdf,https://ontology.tesseract.academy/modip/object/0cfa0f2e-3faa-3f4c-8fee-30a2140fd6d0,P67_refers_to
https://ontology.tesseract.academy/modip/object/30487ab5-8c37-3826-9fcb-541c6a0f58eb,https://ontology.tesseract.academy/modip/object/d0017afc-745b-3847-9e31-b728df59c734,P67_refers_to
https://ontology.tesseract.academy/modip/object/30487ab5-8c37-3826-9fcb-541c6a0f58eb,https://ontology.tesseract.academy/modip/object/0e89633c-f572-3861-a861-ac221535f797,P67_refers_to
https://ontology.tesseract.academy/modip/object/f146c2b1-5fb1-3e58-aa59-906d98016adb,https://ontology.tesseract.academy/modip/object/0cfa0f2e-3faa-3f4c-8fee-30a2140fd6d0,P67_refers_to
https://ontology.tesseract.academy/modip/object/f146c2b1-5fb1-3e58-aa59-906d98016adb,https://ontology.tesseract.academy/modip/object/5e1c09e7-aa87-39ff-b823-7227865b3bdf,P67_refers_to
https://ontology.tesseract.academy/modip/object/0cfa0f2e-3faa-3f4c-8fee-30a2140fd6d0,https://ontology.tesseract.academy/modip/object/f146c2b1-5fb1-3e58-aa59-906d98016adb,P67_refers_to
https://ontology.tesseract.academy/modip/object/0cfa0f2e-3faa-3f4c-8fee-30a2140fd6d0,https://ontology.tesseract.academy/modip/object/5e1c09e7-aa87-39ff-b823-7227865b3bdf,P67_refers_to
https://ontology.tesseract.academy/modip/object/b919c92e-572d-31c6-8e3c-17db89b0ec9b,https://ontology.tesseract.academy/modip/object/f1684b5c-82ed-394b-a052-867a4c2d0ea9,P67_refers_to
https://ontology.tesseract.academy/modip/object/6c44fd62-6fce-3f3a-82cc-a0a29c9cc309,https://ontology.tesseract.academy/modip/object/11946f8d-9127-388d-8c79-9de314aa8022,P67_refers_to
https://ontology.tesseract.academy/modip/object/f1684b5c-82ed-394b-a052-867a4c2d0ea9,https://ontology.tesseract.academy/modip/object/b919c92e-572d-31c6-8e3c-17db89b0ec9b,P67_refers_to
